iter	Passed	Remaining
0	0	91
1	1	95
2	3	104
3	4	98
4	5	99
5	6	102
6	7	103
7	8	99
8	9	98
9	10	96
10	11	95
11	12	94
12	13	92
13	15	92
14	16	91
15	17	89
16	18	88
17	19	88
18	20	86
19	21	85
20	22	84
21	23	82
22	24	80
23	25	79
24	25	77
25	26	75
26	27	74
27	28	72
28	29	71
29	29	69
30	30	68
31	31	67
32	32	65
33	33	64
34	33	63
35	34	61
36	35	60
37	36	59
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	44	43
51	45	42
52	46	41
53	47	40
54	47	38
55	48	37
56	48	36
57	49	35
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	24
70	59	24
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	18
77	64	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	71	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	77	1
98	78	0
99	79	0
